NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,23,11,27,0.1139204,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,23,11,27,0.200034,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,23,11,27,0.3006265,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,23,11,27,0.4012682,0
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,23,11,27,0.5027761,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,0.6017194,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,0.7039241,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,0.804475,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,0.9041316,1
0,1,2,2,0,2.907553,0.3085,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,1.002229,1
0,1,2,2,0,3.407552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,1.104687,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,1.202088,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,27,27,3,27,1,2,11,23,11,27,1.300607,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,11,23,11,27,1.402693,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,11,23,11,27,1.500305,1
1,1,2,1,18.70756,5.907552,0.3085,0.3075551,15,3,27,27,3,27,1,2,11,23,11,27,1.605525,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,11,23,11,27,1.703083,1
1,1,2,1,17.70755,6.907556,0.3085001,0.3075551,15,3,27,27,3,27,1,2,11,23,11,27,1.804471,1
1,1,2,1,17.20755,7.407558,0.3085001,0.3075551,15,3,27,27,3,27,1,2,11,23,11,27,1.902335,1
1,1,2,1,16.70755,7.907561,0.3085001,0.3075551,15,3,27,27,3,27,1,2,11,23,11,27,2.004717,1
1,1,2,2,16.20755,8.407562,0.3085001,0.3085001,15,3,26.5,27,3,26.5,1,2,11,23,11,27,2.103464,1
1,1,2,2,15.70755,8.907564,0.3085001,0.3085001,15,3,26,27,3,26,1,2,11,23,11,27,2.205303,1
1,1,2,2,15.20754,9.407566,0.3085001,0.3085001,15,3,25.49999,27,3,25.49999,1,2,11,23,11,27,2.30239,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,24.99999,27,3,24.99999,1,2,11,23,11,27,2.404349,1
1,1,2,1,14.20754,10.40757,0.3085001,8.307555,15,3,24.49999,27,3,24.49999,1,2,11,23,11,27,2.500826,1
1,1,2,2,13.70754,10.90757,0.3085001,0.3085001,15,3,23.99999,27,3,23.99999,1,2,11,23,11,27,2.604553,1
