NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,5,11,21,0.1128648,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,5,11,21,0.2027855,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,5,11,21,0.3024583,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,5,11,21,0.401379,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,5,11,21,0.5004343,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,5,11,21,0.602625,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,5,11,21,0.7035235,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,0.8009276,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,0.9036505,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,1.003524,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,1.104704,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,1.203272,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,1.304651,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,1.40013,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,1.503104,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,5,11,21,1.600582,1
1,1,2,1,19.60756,5.00755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,5,11,21,1.701365,0
1,1,2,1,19.60756,5.00755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,5,11,21,1.800358,0
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,23,5,11,21,1.901174,2
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,27,27,3,27,1,2,23,5,11,21,2.002252,2
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,27,27.3,3,26.5,1,2,23,5,11,21,2.100286,3
2,2,2,2,0.5085037,0.1084964,7.808498,0.808502,15,3,27,27.3,3,26,1,2,23,5,11,21,2.2042,3
2,2,2,2,0.5085037,0.1084964,7.308496,1.308504,15,3,27,27.3,3,25.49999,1,2,23,5,11,21,2.30245,3
2,2,2,2,0.5085037,0.1084964,6.808494,1.808506,15,3,27,27.3,3,24.99999,1,2,23,5,11,21,2.402005,3
2,2,2,2,0.5085037,0.1084964,6.308492,2.308508,15,3,27,27.3,3,24.49999,1,2,23,5,11,21,2.500906,3
2,2,2,2,0.5085037,0.1084964,5.80849,2.80851,15,3,27,27.3,3,23.99999,1,2,23,5,11,21,2.602996,3
2,2,2,2,0.5085037,0.1084964,5.308488,3.308511,15,3,27,27.3,3,23.49999,1,2,23,5,11,21,2.700049,3
2,2,2,2,0.5085037,0.1084964,4.808486,3.808513,15,3,27,27.3,3,22.99998,1,2,23,5,11,21,2.806339,3
2,2,2,2,4.508503,0.1084964,4.308485,4.308515,15,3,27,27.3,3,22.49998,1,2,23,5,11,21,2.90189,3
2,2,2,2,0.5085037,0.1084964,3.808483,4.808517,15,3,27,27.3,3,21.99998,1,2,23,5,11,21,3.002974,3
2,2,2,2,0.5085037,0.1084964,3.308481,5.308519,15,3,27,27.3,3,21.49998,1,2,23,5,11,21,3.102456,3
2,2,2,2,0.5085037,0.1084964,2.808479,5.808521,15,3,27,27.3,3,20.99998,1,2,23,5,11,21,3.200051,3
2,2,0,2,0.5085037,0.1084964,0,6.308523,15,3,27,27.3,3,20.49998,0,2,23,5,11,21,3.301839,3
2,2,0,2,0.5085037,0.1084964,0,6.808525,15,3,27,27.3,3,19.99997,0,2,23,5,11,21,3.401994,3
2,2,0,2,0.5085037,0.1084964,0,7.308527,15,3,27,27.3,3,19.49997,0,2,23,5,11,21,3.501593,3
2,2,0,2,0.5085037,0.1084964,0,7.808529,15,3,27,27.3,3,18.99997,0,2,23,5,11,21,3.600463,3
0,1,2,2,0,4.107551,4.308469,8.308531,15,3,27,27.3,3,18.49997,0,2,23,5,11,21,3.707335,3
1,2,0,2,0.5075587,0.1084964,0,8.808533,15,3,27,27.3,3,17.99997,0,2,23,5,11,21,3.801698,3
