NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,3,23,0.1146684,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,3,23,0.2013508,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,3,23,0.3012151,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,3,23,0.4003121,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,3,23,0.5008472,0
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,3,23,0.6046241,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,5,3,23,0.7002911,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,3,23,0.8035196,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,3,23,0.9017776,1
0,1,2,2,0,2.507553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,3,23,1.002177,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,3,23,1.100185,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,3,23,1.202982,1
0,1,2,2,0,4.007552,8.3085,0.3085001,15,3,27,27,3,27,1,2,100,100,3,23,1.302762,1
0,1,2,2,0,4.507551,8.3085,0.3085001,15,3,27,27,3,27,1,2,100,100,3,23,1.402983,1
1,1,2,1,19.60756,5.00755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,100,100,3,23,1.503024,1
1,1,2,1,19.10756,5.507551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,100,100,3,23,1.600153,1
1,1,2,1,18.60756,6.007553,0.3085001,0.3075551,15,3,27,27,3,27,1,2,100,100,3,23,1.700938,1
1,1,2,1,18.10756,6.507555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,100,100,3,23,1.800036,1
1,1,2,1,17.60755,7.007556,0.3085001,0.3075551,15,3,27,27,3,27,1,2,100,100,3,23,1.904781,1
1,1,2,1,17.10755,7.507559,0.3085001,0.3075551,15,3,27,27,3,27,1,2,100,100,3,23,2.003576,1
1,1,2,2,16.60755,8.007561,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.104277,1
1,1,2,2,16.10755,8.507563,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.200439,1
1,1,2,2,15.60755,9.007565,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.302453,1
1,1,2,2,15.10754,9.507566,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.400563,1
1,1,2,1,14.60754,10.00757,0.3085001,8.307554,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.502066,1
1,1,2,1,14.10754,10.50757,0.3085001,8.307554,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.60389,1
1,1,2,2,13.60754,11.00757,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.703234,1
1,1,2,2,13.10754,11.50757,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.803679,1
1,1,2,2,12.60754,12.00758,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,2.904258,1
1,1,2,2,12.10753,12.50758,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.003332,1
1,1,2,2,11.60753,13.00758,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.103814,1
1,1,2,2,11.10753,13.50758,0.3085001,0.3085001,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.204465,1
1,1,1,1,10.60753,14.00758,2.307555,8.307555,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.300681,1
1,1,1,1,10.50753,14.10758,2.507556,8.107554,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.402071,4
2,2,1,1,0.5084723,0.1085279,3.007558,7.607552,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.504016,4
2,2,1,1,0.5084723,0.1085279,3.507559,7.10755,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.600258,4
2,2,1,1,0.5084723,0.1085279,4.007561,6.607548,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.704895,4
2,2,1,1,0.5084723,0.1085279,4.507564,6.107546,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.801695,4
2,2,1,1,0.5084723,0.1085279,5.007565,5.607545,15,3,27.3,27,2.7,27,1,2,100,100,3,23,3.90447,4
2,2,1,1,0.5084723,0.1085279,5.507565,5.107544,15,3,27.3,27,2.7,27,1,2,100,100,3,23,4.003613,4
1,2,1,1,10.50753,0.1085279,6.007565,4.607544,15,3,26.8,27,2.7,27,1,2,100,100,3,23,4.104156,4
1,2,1,1,10.50753,0.1085279,6.507565,4.107544,15,3,26.3,27,2.7,27,1,2,100,100,3,23,4.201057,4
2,2,1,1,0.5084723,0.1085279,7.007564,3.607546,15,3,25.8,27,2.7,27,1,2,100,100,3,23,4.30373,4
2,2,1,1,0.5084723,0.1085279,7.507564,3.107546,15,3,25.29999,27,2.7,27,1,2,100,100,3,23,4.403127,4
2,2,1,1,0.5084723,4.108527,8.007564,2.607547,15,3,24.79999,27,2.7,27,1,2,100,100,3,23,4.501248,4
2,2,1,1,0.5084723,4.108528,8.507564,2.107547,15,3,24.29999,27,2.7,27,1,2,100,100,3,23,4.60007,4
2,2,1,1,0.5084723,0.1085279,9.007563,1.607548,15,3,23.79999,27,2.7,27,1,2,100,100,3,23,4.704608,4
2,2,1,1,0.5084723,0.1085279,9.507562,1.107548,15,3,23.29999,27,2.7,27,1,2,100,100,3,23,4.803897,4
6,2,1,1,8.857722,0.1085279,10.00756,0.6075486,15,3,22.79998,27,2.7,27,1,2,100,100,3,23,4.901684,4
6,2,1,1,8.857722,0.1085279,10.50756,0.1075491,15,3,22.29998,27,2.7,27,1,2,100,100,3,23,5.003232,4
6,2,1,1,8.457721,0.5085295,10.50756,0.1075491,15,3,21.79998,27,2.7,27,1,2,100,100,3,23,5.103304,1
6,2,2,1,7.95772,1.008531,0.5085061,0.1075491,15,3,21.29998,27,2.7,27,1,2,100,100,3,23,5.201618,1
6,2,2,1,7.457717,1.508533,0.5085061,0.1075491,15,3,20.79998,27,2.7,27,0,2,100,100,3,23,5.30162,1
0,2,2,1,0,2.008535,0.5085061,0.1075491,15,3,20.29997,27,2.7,27,0,2,100,100,3,23,5.40201,1
0,2,2,1,0,2.508537,0.5085061,0.1075491,15,3,19.79997,27,2.7,27,0,2,100,100,3,23,5.503362,1
0,2,2,1,0,3.008539,0.5085061,0.1075491,15,3,19.29997,27,2.7,27,0,2,100,100,3,23,5.603711,1
0,2,2,1,0,3.508541,0.5085061,0.1075491,15,3,18.79997,27,2.7,27,0,2,100,100,3,23,5.70253,1
0,2,2,1,0,4.008542,0.5085061,0.1075491,15,3,18.29997,27,2.7,27,0,2,100,100,3,23,5.800541,1
0,2,2,1,0,4.508544,0.5085061,0.1075491,15,3,17.79996,27,2.7,27,0,2,100,100,3,23,5.903722,1
6,2,2,1,3.957703,5.008546,0.5085061,0.1075491,15,3,17.29996,27,2.7,27,1,2,100,100,3,23,6.000445,1
6,2,2,1,3.457702,5.508548,0.5085061,0.1075491,15,3,17.29996,27,2.7,27,1,2,100,100,3,23,6.102637,1
6,2,2,1,2.957699,6.00855,0.5085061,0.1075491,15,3,17.29996,27,2.7,27,1,2,100,100,3,23,6.201138,1
6,2,2,1,2.457698,6.508552,0.5085061,0.1075491,15,3,17.29996,27,2.7,27,1,2,100,100,3,23,6.303454,1
6,2,2,1,1.957696,7.008554,0.5085061,0.1075491,15,3,17.29996,27,2.7,27,1,2,100,100,3,23,6.401357,1
0,2,2,1,0,7.508556,0.5085061,0.1075491,15,3,17.29996,27,2.7,27,0,2,100,100,3,23,6.502985,1
1,2,2,1,2.607497,8.008558,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,6.603069,1
1,2,2,1,2.107495,8.50856,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,6.701314,1
1,2,2,1,1.607493,9.008562,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,6.801408,1
1,2,2,1,1.507493,9.108562,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,6.900015,0
1,2,2,1,1.807494,8.808561,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.004805,2
1,2,2,1,2.307496,8.308559,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.1014,2
1,2,2,1,2.807498,7.808558,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.20072,2
1,2,2,1,3.007499,7.608557,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.303716,0
5,2,2,1,1.508446,7.608557,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.4004,0
5,2,2,1,1.508446,7.608557,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.501122,0
1,2,2,1,3.007499,7.608557,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.603388,0
1,2,2,1,2.807498,7.808558,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.70069,1
1,2,2,1,2.307496,8.308559,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.801293,1
1,2,2,1,1.807494,8.808561,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,7.904514,1
1,2,2,1,1.307492,9.308563,0.5085061,0.1075491,15,3,17.29996,27,100,100,1,2,100,100,3,23,8.003438,1
1,2,2,1,0.8074902,9.808565,0.5085061,0.1075491,15,3,17.29996,27.3,100,100,1,2,100,100,3,23,8.103272,1
1,2,5,1,0.3074883,10.30857,10.62847,0.1075491,15,3,17.29996,27.3,100,100,1,2,100,100,3,23,8.204884,1
1,2,5,1,0.2074879,10.40857,9.428473,0.5075487,15,3,17.29996,27.3,100,100,1,2,100,100,3,23,8.303881,3
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,8.400307,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,8.501724,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,8.601929,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,8.703132,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,8.800562,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,8.903302,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.001275,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.103837,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.202698,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.302261,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.400144,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.501597,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.6038,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.70337,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.80162,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,9.902686,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.29996,27.3,100,100,0,2,100,100,3,23,10.00344,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,17.79996,27.3,100,100,0,2,100,100,3,23,10.10277,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,18.29997,27.3,100,100,0,2,100,100,3,23,10.20344,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,18.79997,27.3,100,100,0,2,100,100,3,23,10.30143,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,19.29997,27.3,100,100,0,2,100,100,3,23,10.40286,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,19.79997,27.3,100,100,0,2,100,100,3,23,10.50446,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,20.29997,27.3,100,100,0,2,100,100,3,23,10.60114,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,20.79998,27.3,100,100,0,2,100,100,3,23,10.70151,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,21.29998,27.3,100,100,0,2,100,100,3,23,10.8023,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,21.79998,27.3,100,100,0,2,100,100,3,23,10.90133,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,22.29998,27.3,100,100,0,2,100,100,3,23,11.00259,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,22.79998,27.3,100,100,0,2,100,100,3,23,11.10358,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,23.29999,27.3,100,100,0,2,100,100,3,23,11.20481,0
1,2,0,1,0.2074879,0.4085672,0,0.9075482,15,3,23.79999,27.3,100,100,0,2,100,100,3,23,11.30497,0
